Restaurant Name,Average Rating,Average Votes
Captain Bill$ Deliverz,2.533333333333333,91.0
Ovenstory Pizza,2.5,12.5
Chinese King,2.5,38.5
Red Chilli,2.5,49.4
Khan Chacha,2.4714285714285715,658.5714285714286
Republic of Chicken,2.4222222222222225,13.0
Cafe Coffee Day,2.419277108433735,29.253012048192772
Sanjha Chulha,2.4166666666666665,66.33333333333333
Costa Coffee,2.415,43.05
Nirula's Ice Cream,2.4000000000000004,13.0
Sandoz,2.4,45.0
WTF - World's Tastiest Food,2.4,13.0
Public Cafe,2.4,26.75
Viva Hyderabad,2.38,48.6
Chaska,2.375,55.0
Grillz,2.35,52.0
Punjabi Zaika,2.35,55.75
Biryaniwala,2.35,47.0
Punjabi Chaap Corner,2.35,27.625
Comesum,2.35,150.0
Wah Ji Wah,2.3421052631578947,54.0
Sri Balaji,2.3333333333333335,51.666666666666664
Chicago Pizza,2.3249999999999997,52.75
Punjabi's Veg Grill,2.3,6.25
Chawla's�_,2.2714285714285714,52.0
Chawla's Tandoori Junction,2.2666666666666666,65.0
Kings Kulfi,2.2666666666666666,13.666666666666666
Da Pizza Corner,2.2600000000000002,4.6
Flying Cakes,2.2333333333333334,68.33333333333333
Punjabi Dhaba,2.1999999999999997,35.666666666666664
Finger Licious,2.1999999999999997,108.33333333333333
Pizza Station,2.1666666666666665,9.333333333333334
Twenty Four Seven,2.1473684210526316,14.736842105263158
Mitra Da Dhaba,2.1,91.0
Taste of India,2.1,93.0
Pakwan,2.075,31.5
Hot Pot,2.075,58.0
Shawarma Wala,2.066666666666667,85.0
Super Cake Shop,2.05,5.0
Black Pepper,2.05,111.5
Pho King Awesome,2.05,127.0
Los Agaves,2.05,80.0
Hasty Tasty,2.033333333333333,33.0
China Town,2.0285714285714285,9.714285714285714
Chinese Food,2.0,7.0
The Artful Baker,2.0,110.0
Muradabadi Shahi Biryani & Chicken Corner,1.9666666666666668,30.666666666666668
New Madras Cafe,1.9666666666666668,15.666666666666666
All About Food,1.95,152.5
Apni Rasoi,1.9416666666666667,40.75
Street Foods by Punjab Grill,1.9333333333333336,26.333333333333332
Madras Cafe,1.9181818181818182,35.36363636363637
Kulcha King,1.9,85.0
Metro Dhaba,1.9,209.5
Baskin Robbins,1.8607142857142858,15.285714285714286
Khana Khazana,1.85,140.5
Senorita's,1.85,30.0
Cones & Curries,1.85,76.5
Tea Trails,1.85,29.0
Caff�� La Poya,1.85,82.0
The Belgian Fries Company,1.85,16.0
Standard Sweets,1.8,16.0
Green Restaurant,1.8,23.5
Faaso's,1.8,17.0
Crazy Noodles,1.8,254.5
Biryani Vice,1.8,9.5
Papa Buns,1.8,13.0
Food Express,1.8,64.0
Invitation,1.8,230.0
